미국 Redbook 월간 소비증가율???,기업 파산건수,US PPI - CPI Index,Korea Export Growth,China Credit Impulse,미국 산업생산 증가율,"미국 자동차 판매: HEAVY & MEDIUM TRUCKS (백만대, 좌)",미국 제조업 신규수주,미국 제조업 판매대비 재고율,BDI,JOLTS,미국 자동차 제외 소매판매 (YoY),미국 전산업 가동률,US 기업+가계대출 증가율,미국 소비자 신용 변화율(아웃스탠딩)
0.108206634,-0.335710386,-0.353476118,-0.912021373,0.22349218,-0.172399825,1.837596357,0.531394743,-0.128364189,-0.68112109,-0.271984401,-0.486032427,-0.212132547,0.462003102,0.073976803
0.230664577,-0.025671713,-0.138054893,-0.470633223,0.314806847,-0.573217124,1.837596357,-0.160383895,-0.226376254,-0.559674904,-0.42469559,-0.600873131,-0.593697724,0.143651944,0.172666236
0.289538588,-0.096219995,-0.353476118,-1.010107628,0.038919979,-0.297808919,1.656177608,-0.062444273,-0.226376254,-0.411324786,-0.442806293,-0.658681254,-0.384196373,0.126035847,0.127535666
0.235374498,-0.261888789,-0.568897343,-1.290354073,-0.207823911,-0.479775054,2.019015105,-0.032047816,-0.422400385,-0.325917394,-0.716686534,-0.266694911,-0.558822891,0.048119875,0.124996713
0.164725685,-0.615552351,-0.568897343,-1.101187723,-0.174795202,-0.622397161,1.293340111,-0.514812687,-0.618424515,0.01134301,-0.750504533,-0.245387047,-0.703262311,0.010220244,0.087018363
0.155305843,-0.795583882,-0.676607955,-1.304366395,-0.050451824,-0.622397161,1.656177608,-0.061874975,-0.716436581,0.044091571,-0.678627304,-0.184141009,-0.715968194,0.085931255,0.046484824
0.40728661,-0.923699516,-0.820222105,-1.157237012,-0.157309414,-0.696167216,0.567665117,-0.190617696,-0.814448646,0.552333095,-0.823375414,-0.290283605,-0.785469708,0.028608612,0.048672794
0.089366951,-0.857609008,-0.89202918,-1.374428006,-0.293309983,-0.858461336,0.204827619,-0.168415066,-1.010472777,0.07312593,-0.639176481,-0.41581634,-0.948935633,-0.118692572,0.016687458
0.131756239,-0.501159134,-0.568897343,-1.339397201,-0.52062522,-0.762560265,0.204827619,-0.916879539,-1.206496907,0.084019488,-1.099181645,-0.70704627,-0.852408987,-0.271006065,0.019360126
0.2471493,-0.281330903,-0.389379655,-0.694830378,-0.51673949,-0.821576309,0.204827619,-0.574243353,-1.304508973,-0.114499772,-1.175715214,0.269483791,-0.905105818,-0.498801554,-0.015326036
0.277763786,-0.200518399,-0.17395843,-0.785910473,-0.250566947,-0.789609285,0.386246368,-0.931904945,-1.500533104,-0.591776073,-0.875666857,-0.232208306,-0.879039905,-0.631613468,-0.017417729
0.24479434,0.518388018,-0.532993805,-0.071282039,-0.289424253,-0.587971135,0.386246368,-0.776588198,-1.402521038,-0.498287821,-0.708172148,-0.035311821,-0.704094029,-0.690851384,-0.012604083
0.694591785,0.523280204,-1.251064555,-0.449614739,-0.617768484,-1.522391831,-1.427941118,-0.767926732,-2.186617561,-0.306215137,-1.70785892,0.264089552,-1.517387283,0.409018622,0.021591557
-1.29063987,0.205696913,-2.18455653,-2.117081084,-1.058798901,-4.507620056,-4.693478593,-2.554343812,-4.832943325,-0.337820267,-2.399904573,-3.031894143,-4.130546427,2.369705738,0.541030437
-2.760135187,-0.465709263,-1.358775167,-1.983964023,-1.243371102,-4.214998838,-3.423547353,-2.134791373,-4.342882998,-0.830344702,-1.839832083,-0.526862396,-3.84808161,2.940610666,0.873145488
-2.997986191,-1.117830031,-1.215161018,-1.0871754,-1.282228407,-2.921563874,-0.702266124,-1.019292219,-2.578665822,-0.188708749,-1.36984347,0.980273285,-2.654763378,2.322855975,0.980724753
-2.550543707,-1.387825152,-1.251064555,-0.820941278,-1.507600779,-1.996979185,-0.158009878,-1.219481863,-1.892581365,-0.319657052,-1.035382497,1.268561996,-1.797630213,1.912586932,1.015140419
-1.738082354,-1.707820079,-1.215161018,-1.045138434,-1.791259109,-1.945340146,0.204827619,-0.794053453,-1.696557234,-0.457592879,-1.221160296,1.25231558,-1.71470003,1.575284333,1.114760235
-0.989204933,-1.853538999,-1.107450405,0.1739336,-1.921431082,-1.881406099,0.023408871,-0.412847314,-1.598545169,-0.634709971,-1.107286936,1.758249379,-1.624868234,1.242017597,1.153034669
-0.631250945,-1.755949693,-1.03564333,-0.596744123,-2.022460077,-1.519932829,0.204827619,-0.426469806,-1.500533104,-0.29426973,-0.999200986,1.585949479,-1.258879644,0.920036687,1.221693378
-0.511147963,-1.775023607,-1.071546868,-0.050263556,-1.960288388,-1.522391831,0.386246368,-0.817252355,-1.402521038,-0.372717728,-0.685469397,1.43207164,-1.221098347,0.62391965,1.262797131
-0.216777907,-1.90014167,-0.963836255,0.545260139,-1.814573492,-1.197803589,0.204827619,-0.179679038,-1.108484842,-0.284613129,-0.545243399,1.577338342,-0.869290253,0.458230564,1.279581132
